gene	protein_accession	aro_index	count	rpob_Normalization	rpob_count	sample
emrK	BAA11236.1	ARO:3000206	4	0.00029191391576468667	49617	R39_S32_arg_short
emrR	AAC75731.1	ARO:3000516	5	0.0007256617115054357	49617	R39_S32_arg_short
emrY	BAA11237.1	ARO:3000254	1	5.007490172961486e-05	49617	R39_S32_arg_short
eptA	BAE78116.1	ARO:3003576	14	0.0006562736208432371	49617	R39_S32_arg_short
eptB	CCI79240.1	ARO:3005047	10	0.0004467552102137813	49617	R39_S32_arg_short
erm(46)	AJF36617.1	ARO:3004596	1	9.479123463945544e-05	49617	R39_S32_arg_short
evgA	BAB36671.1	ARO:3000832	4	0.000501237552922779	49617	R39_S32_arg_short
evgS	AAC75429.1	ARO:3000833	4	8.577103368044216e-05	49617	R39_S32_arg_short
farA	AAF40763.1	ARO:3003961	7	0.0004670622652234986	49617	R39_S32_arg_short
farB	AAF40764.1	ARO:3003962	3	0.00015140525297028932	49617	R39_S32_arg_short
floR	AAG16656.1	ARO:3002705	82	0.005201113126315998	49617	R39_S32_arg_short
gadW	ANK04027.1	ARO:3003838	2	0.00021142736285837386	49617	R39_S32_arg_short
gadX	BAE77778.1	ARO:3000508	4	0.0003736498121787989	49617	R39_S32_arg_short
golS	AAL19308.1	ARO:3000504	4	0.0006629270861236755	49617	R39_S32_arg_short
imiH	CAD69003.1	ARO:3003094	1	0.00010073891995016636	49617	R39_S32_arg_short
iri	AAB41059.1	ARO:3002884	1	5.3517551223525886e-05	49617	R39_S32_arg_short
kdpE	AAC73788.1	ARO:3003841	115	0.013071543484684199	49617	R39_S32_arg_short
leuO	VWQ00850.1	ARO:3003843	4	0.00032620221698149114	49617	R39_S32_arg_short
lfrA	AAC43550.1	ARO:3003967	8	0.0004069453399967117	49617	R39_S32_arg_short
linG	ABG65740.1	ARO:3002879	3	0.0002812601232185302	49617	R39_S32_arg_short
lmrC	ABX00624.1	ARO:3002881	7	0.00032635022161714514	49617	R39_S32_arg_short
lmrD	AYV52072.1	ARO:3002882	1	3.862920990570289e-05	49617	R39_S32_arg_short
